1nu/nu0,1U/U0,2nu/nu0,2U/U0
0.9891,0.9800,1.0000,1.0000
0.9783,0.9400,0.9638,1.0000
0.9674,0.8700,0.9275,0.9774
0.9566,0.7920,0.8913,0.9323
0.9457,0.7120,0.8551,0.8496
0.9349,0.6360,0.8188,0.7669
0.9240,0.5760,0.7826,0.6917
0.9132,0.5160,0.7464,0.6165
0.9023,0.4540,0.7101,0.5414
0.8915,0.4160,0.6739,0.4624
1.0155,0.9880,0.6377,0.3985
1.0310,0.9160,1.0435,0.9850
1.0465,0.8280,1.0870,0.9699
1.0620,0.7440,1.1304,0.9323
1.0775,0.6640,1.1739,0.8647
1.0930,0.6040,1.2174,0.8421
1.1085,0.5520,1.2609,0.8120
1.1240,0.5080,1.3043,0.7820
1.1395,0.4680,1.3478,0.7519
1.1550,0.4320,1.3913,0.7218
1.1705,0.4120,1.5362,0.6466
1,1,1.6812,0.6128
1,1,1.8261,0.5827