U,I,nu,xi_10_3,xi_2,nu_2,xi_2_graph,nu_2_graph
0.137,0.449,22,13.82,5239,484,5.239214375,0.484
0.148,0.448,24,13.80,5254,576,5.254100624,0.576
0.160,0.448,26,13.77,5273,676,5.272952268,0.676
0.184,0.446,30,13.72,5313,900,5.313266532,0.9
0.212,0.442,35,13.71,5320,1225,5.319848817,1.225
0.240,0.442,40,13.56,5438,1600,5.437523585,1.6
0.292,0.436,50,13.37,5595,2500,5.595470807,2.5
0.383,0.424,70,12.89,6015,4900,6.014657042,4.9
0.487,0.405,100,12.03,6908,10000,6.907972782,10
0.538,0.393,120,11.42,7672,14400,7.672196957,14.4
0.594,0.377,150,10.49,9087,22500,9.08703144,22.5
0.621,0.369,170,9.90,10206,28900,10.20601318,28.9
0.641,0.362,190,9.34,11467,36100,11.46742462,36.1
0.658,0.355,210,8.81,12870,44100,12.870428,44.1
0.670,0.350,230,8.33,14415,52900,14.41468374,52.9