v,lnV
2.07,2.302585093
2.17,0.9162907319
2.27,0.2231435513
2.32,-0.0953101798
2.35,-1.029619417
2.43,-1.526056303
2.48,-1.757857918
2.51,-2.332143895
2.65,-2.517696473
3.12,-3.772760938
3.35,-3.945457782
3.53,-4.003690194
3.76,-3.994524227
4.02,-4.050044303
4.25,-4.082609306
4.51,-4.102643365
4.79,-4.112511866
5.03,-4.110873864
5.27,-4.100989105
5.55,-4.079230924
5.91,-4.046553898
6.22,-4.010962953
6.53,-3.964615456
6.78,-3.919991175
7.10,-3.852273001
7.53,-3.756538103
7.90,-3.678829118
8.27,-3.594568775
8.56,-3.538056564
8.98,-3.45946629
9.77,-3.370738174
10.44,-3.414442608
10.60,-3.417726684
10.83,-3.421000009
11.08,-3.437207819
11.62,-3.47506723